,relationType,argSrc,argTrg,Unnamed: 0.1,Unnamed: 0
5383,neither,"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on","Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.",4199.0,
5384,neither,although they have taken or destroyed another life?,Germany should by no means introduce capital punishment.,4200.0,
5385,neither,although they have taken or destroyed another life?,"If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives.",4201.0,
5386,neither,although they have taken or destroyed another life?,Capital punishment would be murder and would have to be punished with the death penalty itself.,4202.0,
5387,attack,although they have taken or destroyed another life?,"What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on",4203.0,
5388,neither,although they have taken or destroyed another life?,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.",4204.0,
5389,neither,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.",Germany should by no means introduce capital punishment.,4205.0,
5390,neither,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.","If there were capital punishment, this would mean people are allowed to put themselves above others and rule over their lives.",4206.0,
5391,neither,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.",Capital punishment would be murder and would have to be punished with the death penalty itself.,4207.0,
5392,neither,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.","What, then, ought to be done with criminals who have committed truly awful crimes such as murder or rape - should they simply be allowed to live on",4208.0,
5393,attack,"Yes, for it is a much graver punishment to be imprisoned forever and be tortured by one's own thoughts than to be killed quickly and easily by an injection.",although they have taken or destroyed another life?,4209.0,
5394,neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,"For in this way, Sunday shopping days would be better spread out through the year.",4210.0,
5395,neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Also streets and shops would presumably be emptier,4211.0,
5396,neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,as not everyone would be open on the same day.,4212.0,
5397,neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,However then you'd have a worse overview of which shop is open on a given day.,4213.0,
5398,support,"For in this way, Sunday shopping days would be better spread out through the year.",Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,4214.0,
5399,neither,"For in this way, Sunday shopping days would be better spread out through the year.",Also streets and shops would presumably be emptier,4215.0,
5400,neither,"For in this way, Sunday shopping days would be better spread out through the year.",as not everyone would be open on the same day.,4216.0,
5401,neither,"For in this way, Sunday shopping days would be better spread out through the year.",However then you'd have a worse overview of which shop is open on a given day.,4217.0,
5402,support,Also streets and shops would presumably be emptier,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,4218.0,
5403,neither,Also streets and shops would presumably be emptier,"For in this way, Sunday shopping days would be better spread out through the year.",4219.0,
5404,neither,Also streets and shops would presumably be emptier,as not everyone would be open on the same day.,4220.0,
5405,neither,Also streets and shops would presumably be emptier,However then you'd have a worse overview of which shop is open on a given day.,4221.0,
5406,neither,as not everyone would be open on the same day.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,4222.0,
5407,neither,as not everyone would be open on the same day.,"For in this way, Sunday shopping days would be better spread out through the year.",4223.0,
5408,support,as not everyone would be open on the same day.,Also streets and shops would presumably be emptier,4224.0,
5409,neither,as not everyone would be open on the same day.,However then you'd have a worse overview of which shop is open on a given day.,4225.0,
5410,attack,However then you'd have a worse overview of which shop is open on a given day.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,4226.0,
5411,neither,However then you'd have a worse overview of which shop is open on a given day.,"For in this way, Sunday shopping days would be better spread out through the year.",4227.0,
5412,neither,However then you'd have a worse overview of which shop is open on a given day.,Also streets and shops would presumably be emptier,4228.0,
5413,neither,However then you'd have a worse overview of which shop is open on a given day.,as not everyone would be open on the same day.,4229.0,
5414,neither,School uniforms should be introduced in our schools again.,"This provides an at least superficial equalization in our heavily economically oriented society,",4230.0,
5415,neither,School uniforms should be introduced in our schools again.,which may reduce discrimination of financially and/or socially disadvantaged children.,4231.0,
5416,neither,School uniforms should be introduced in our schools again.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",4232.0,
5417,neither,School uniforms should be introduced in our schools again.,Uniforms always and immediately provoke fear of losing one's individuality,4233.0,
5418,neither,School uniforms should be introduced in our schools again.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",4234.0,
5419,neither,"This provides an at least superficial equalization in our heavily economically oriented society,",School uniforms should be introduced in our schools again.,4235.0,
5420,support,"This provides an at least superficial equalization in our heavily economically oriented society,",which may reduce discrimination of financially and/or socially disadvantaged children.,4236.0,
5421,neither,"This provides an at least superficial equalization in our heavily economically oriented society,","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",4237.0,
5422,neither,"This provides an at least superficial equalization in our heavily economically oriented society,",Uniforms always and immediately provoke fear of losing one's individuality,4238.0,
5423,neither,"This provides an at least superficial equalization in our heavily economically oriented society,","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",4239.0,
5424,support,which may reduce discrimination of financially and/or socially disadvantaged children.,School uniforms should be introduced in our schools again.,4240.0,
5425,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"This provides an at least superficial equalization in our heavily economically oriented society,",4241.0,
5426,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",4242.0,
5427,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,Uniforms always and immediately provoke fear of losing one's individuality,4243.0,
5428,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",4244.0,
5429,support,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",School uniforms should be introduced in our schools again.,4245.0,
5430,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","This provides an at least superficial equalization in our heavily economically oriented society,",4246.0,
5431,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",which may reduce discrimination of financially and/or socially disadvantaged children.,4247.0,
5432,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",Uniforms always and immediately provoke fear of losing one's individuality,4248.0,
5433,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",4249.0,
5434,attack,Uniforms always and immediately provoke fear of losing one's individuality,School uniforms should be introduced in our schools again.,4250.0,
5435,neither,Uniforms always and immediately provoke fear of losing one's individuality,"This provides an at least superficial equalization in our heavily economically oriented society,",4251.0,
5436,neither,Uniforms always and immediately provoke fear of losing one's individuality,which may reduce discrimination of financially and/or socially disadvantaged children.,4252.0,
5437,neither,Uniforms always and immediately provoke fear of losing one's individuality,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",4253.0,
5438,neither,Uniforms always and immediately provoke fear of losing one's individuality,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",4254.0,
5439,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",School uniforms should be introduced in our schools again.,4255.0,
5440,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","This provides an at least superficial equalization in our heavily economically oriented society,",4256.0,
5441,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",which may reduce discrimination of financially and/or socially disadvantaged children.,4257.0,
5442,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",4258.0,
5443,attack,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",Uniforms always and immediately provoke fear of losing one's individuality,4259.0,
5444,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",4260.0,
5445,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"Besides, intelligence services intervene massively in the privacy of citizens",4261.0,
5446,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,and must therefore be monitored more closely to prevent abuse.,4262.0,
5447,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,Parliamentary control however hampers the work of intelligence services,4263.0,
5448,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,for it jeopardizes the secrecy and security of confidential data and informants.,4264.0,
5449,support,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Secret services must be more tightly regulated in order to prevent excessive surveillance.,4265.0,
5450,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.","Besides, intelligence services intervene massively in the privacy of citizens",4266.0,
5451,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",and must therefore be monitored more closely to prevent abuse.,4267.0,
5452,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Parliamentary control however hampers the work of intelligence services,4268.0,
5453,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",for it jeopardizes the secrecy and security of confidential data and informants.,4269.0,
5454,support,"Besides, intelligence services intervene massively in the privacy of citizens",Secret services must be more tightly regulated in order to prevent excessive surveillance.,4270.0,
5455,neither,"Besides, intelligence services intervene massively in the privacy of citizens","After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",4271.0,
5456,neither,"Besides, intelligence services intervene massively in the privacy of citizens",and must therefore be monitored more closely to prevent abuse.,4272.0,
5457,neither,"Besides, intelligence services intervene massively in the privacy of citizens",Parliamentary control however hampers the work of intelligence services,4273.0,
5458,neither,"Besides, intelligence services intervene massively in the privacy of citizens",for it jeopardizes the secrecy and security of confidential data and informants.,4274.0,
5459,support,and must therefore be monitored more closely to prevent abuse.,Secret services must be more tightly regulated in order to prevent excessive surveillance.,4275.0,
5460,neither,and must therefore be monitored more closely to prevent abuse.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",4276.0,
5461,neither,and must therefore be monitored more closely to prevent abuse.,"Besides, intelligence services intervene massively in the privacy of citizens",4277.0,
5462,neither,and must therefore be monitored more closely to prevent abuse.,Parliamentary control however hampers the work of intelligence services,4278.0,
5463,neither,and must therefore be monitored more closely to prevent abuse.,for it jeopardizes the secrecy and security of confidential data and informants.,4279.0,
5464,attack,Parliamentary control however hampers the work of intelligence services,Secret services must be more tightly regulated in order to prevent excessive surveillance.,4280.0,
5465,neither,Parliamentary control however hampers the work of intelligence services,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",4281.0,
5466,neither,Parliamentary control however hampers the work of intelligence services,"Besides, intelligence services intervene massively in the privacy of citizens",4282.0,
5467,neither,Parliamentary control however hampers the work of intelligence services,and must therefore be monitored more closely to prevent abuse.,4283.0,
5468,neither,Parliamentary control however hampers the work of intelligence services,for it jeopardizes the secrecy and security of confidential data and informants.,4284.0,
5469,neither,for it jeopardizes the secrecy and security of confidential data and informants.,Secret services must be more tightly regulated in order to prevent excessive surveillance.,4285.0,
5470,neither,for it jeopardizes the secrecy and security of confidential data and informants.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",4286.0,
5471,neither,for it jeopardizes the secrecy and security of confidential data and informants.,"Besides, intelligence services intervene massively in the privacy of citizens",4287.0,
5472,neither,for it jeopardizes the secrecy and security of confidential data and informants.,and must therefore be monitored more closely to prevent abuse.,4288.0,
5473,support,for it jeopardizes the secrecy and security of confidential data and informants.,Parliamentary control however hampers the work of intelligence services,4289.0,
5474,neither,It was clearly a mistake to include Tom in our football team.,"He's just not a team player, and often goes it alone.",4290.0,
5475,neither,It was clearly a mistake to include Tom in our football team.,"Plus he comes to training way too rarely,",4291.0,
5476,neither,It was clearly a mistake to include Tom in our football team.,although he plays very well without training.,4292.0,
5477,neither,It was clearly a mistake to include Tom in our football team.,But the worst thing is his habit of always complaining to the referee.,4293.0,
5478,support,"He's just not a team player, and often goes it alone.",It was clearly a mistake to include Tom in our football team.,4294.0,
5479,neither,"He's just not a team player, and often goes it alone.","Plus he comes to training way too rarely,",4295.0,
5480,neither,"He's just not a team player, and often goes it alone.",although he plays very well without training.,4296.0,
5481,neither,"He's just not a team player, and often goes it alone.",But the worst thing is his habit of always complaining to the referee.,4297.0,
5482,support,"Plus he comes to training way too rarely,",It was clearly a mistake to include Tom in our football team.,4298.0,
5483,neither,"Plus he comes to training way too rarely,","He's just not a team player, and often goes it alone.",4299.0,
5484,neither,"Plus he comes to training way too rarely,",although he plays very well without training.,4300.0,
5485,neither,"Plus he comes to training way too rarely,",But the worst thing is his habit of always complaining to the referee.,4301.0,
5486,neither,although he plays very well without training.,It was clearly a mistake to include Tom in our football team.,4302.0,
5487,neither,although he plays very well without training.,"He's just not a team player, and often goes it alone.",4303.0,
5488,attack,although he plays very well without training.,"Plus he comes to training way too rarely,",4304.0,
5489,neither,although he plays very well without training.,But the worst thing is his habit of always complaining to the referee.,4305.0,
5490,support,But the worst thing is his habit of always complaining to the referee.,It was clearly a mistake to include Tom in our football team.,4306.0,
5491,neither,But the worst thing is his habit of always complaining to the referee.,"He's just not a team player, and often goes it alone.",4307.0,
5492,neither,But the worst thing is his habit of always complaining to the referee.,"Plus he comes to training way too rarely,",4308.0,
5493,neither,But the worst thing is his habit of always complaining to the referee.,although he plays very well without training.,4309.0,
5494,support,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,For safety reasons alone I find continued operation wrong.,4310.0,
5495,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",4311.0,
5496,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,4312.0,
5497,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,These areas will be upgraded economically due to these factors (housing health and employment).,4313.0,
5498,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",4314.0,
5499,neither,For safety reasons alone I find continued operation wrong.,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,4315.0,
5500,neither,For safety reasons alone I find continued operation wrong.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",4316.0,
5501,neither,For safety reasons alone I find continued operation wrong.,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,4317.0,
5502,neither,For safety reasons alone I find continued operation wrong.,These areas will be upgraded economically due to these factors (housing health and employment).,4318.0,
5503,support,For safety reasons alone I find continued operation wrong.,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",4319.0,
5504,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,4320.0,
5505,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",For safety reasons alone I find continued operation wrong.,4321.0,
5506,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,4322.0,
5507,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",These areas will be upgraded economically due to these factors (housing health and employment).,4323.0,
5508,support,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.","After the new BER Airport has been commissioned, Tegel should definitely be closed.",4324.0,
5509,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,4325.0,
5510,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,For safety reasons alone I find continued operation wrong.,4326.0,
5511,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",4327.0,
5512,support,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,These areas will be upgraded economically due to these factors (housing health and employment).,4328.0,
5513,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",4329.0,
5514,neither,These areas will be upgraded economically due to these factors (housing health and employment).,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,4330.0,
5515,neither,These areas will be upgraded economically due to these factors (housing health and employment).,For safety reasons alone I find continued operation wrong.,4331.0,
5516,neither,These areas will be upgraded economically due to these factors (housing health and employment).,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",4332.0,
5517,neither,These areas will be upgraded economically due to these factors (housing health and employment).,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,4333.0,
5518,support,These areas will be upgraded economically due to these factors (housing health and employment).,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",4334.0,
5519,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,4335.0,
5520,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",For safety reasons alone I find continued operation wrong.,4336.0,
5521,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.","Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",4337.0,
5522,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,4338.0,
5523,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",These areas will be upgraded economically due to these factors (housing health and employment).,4339.0,
5524,neither,"The implementation of retirement at 63 is no longer socially sustainable,","as the population in Germany has, viewed demographically, a disproportionate number of old people,",4340.0,
5525,neither,"The implementation of retirement at 63 is no longer socially sustainable,",and constantly declining birth rates are being recorded.,4341.0,
5526,neither,"The implementation of retirement at 63 is no longer socially sustainable,","Admittedly the number of immigrants is constantly rising in Germany,",4342.0,
5527,neither,"The implementation of retirement at 63 is no longer socially sustainable,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",4343.0,
5528,support,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","The implementation of retirement at 63 is no longer socially sustainable,",4344.0,
5529,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",and constantly declining birth rates are being recorded.,4345.0,
5530,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","Admittedly the number of immigrants is constantly rising in Germany,",4346.0,
5531,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",4347.0,
5532,support,and constantly declining birth rates are being recorded.,"The implementation of retirement at 63 is no longer socially sustainable,",4348.0,
5533,neither,and constantly declining birth rates are being recorded.,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",4349.0,
5534,neither,and constantly declining birth rates are being recorded.,"Admittedly the number of immigrants is constantly rising in Germany,",4350.0,
5535,neither,and constantly declining birth rates are being recorded.,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",4351.0,
5536,attack,"Admittedly the number of immigrants is constantly rising in Germany,","The implementation of retirement at 63 is no longer socially sustainable,",4352.0,
5537,neither,"Admittedly the number of immigrants is constantly rising in Germany,","as the population in Germany has, viewed demographically, a disproportionate number of old people,",4353.0,
5538,neither,"Admittedly the number of immigrants is constantly rising in Germany,",and constantly declining birth rates are being recorded.,4354.0,
5539,neither,"Admittedly the number of immigrants is constantly rising in Germany,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",4355.0,
5540,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","The implementation of retirement at 63 is no longer socially sustainable,",4356.0,
5541,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","as the population in Germany has, viewed demographically, a disproportionate number of old people,",4357.0,
5542,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",and constantly declining birth rates are being recorded.,4358.0,
5543,attack,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","Admittedly the number of immigrants is constantly rising in Germany,",4359.0,
5544,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,For affordable living space is scarce.,4360.0,
5545,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",4361.0,
5546,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Plus everyone has to move approx. 3-10 times in his or her life,",4362.0,
5547,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,because the size of the desired accommodation changes over the course of a lifetime.,4363.0,
5548,support,For affordable living space is scarce.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,4364.0,
5549,neither,For affordable living space is scarce.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",4365.0,
5550,neither,For affordable living space is scarce.,"Plus everyone has to move approx. 3-10 times in his or her life,",4366.0,
5551,neither,For affordable living space is scarce.,because the size of the desired accommodation changes over the course of a lifetime.,4367.0,
5552,support,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,4368.0,
5553,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",For affordable living space is scarce.,4369.0,
5554,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.","Plus everyone has to move approx. 3-10 times in his or her life,",4370.0,
5555,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",because the size of the desired accommodation changes over the course of a lifetime.,4371.0,
5556,support,"Plus everyone has to move approx. 3-10 times in his or her life,",A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,4372.0,
5557,neither,"Plus everyone has to move approx. 3-10 times in his or her life,",For affordable living space is scarce.,4373.0,
5558,neither,"Plus everyone has to move approx. 3-10 times in his or her life,","Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",4374.0,
5559,neither,"Plus everyone has to move approx. 3-10 times in his or her life,",because the size of the desired accommodation changes over the course of a lifetime.,4375.0,
5560,neither,because the size of the desired accommodation changes over the course of a lifetime.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,4376.0,
5561,neither,because the size of the desired accommodation changes over the course of a lifetime.,For affordable living space is scarce.,4377.0,
5562,neither,because the size of the desired accommodation changes over the course of a lifetime.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",4378.0,
5563,support,because the size of the desired accommodation changes over the course of a lifetime.,"Plus everyone has to move approx. 3-10 times in his or her life,",4379.0,
5564,neither,"Capital punishment is not a solution,",as it cannot be ruled out that the judicial process may make mistakes.,4380.0,
5565,neither,"Capital punishment is not a solution,","Criminals should not be put in luxury prisons, though.",4381.0,
5566,neither,"Capital punishment is not a solution,","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",4382.0,
5567,attack,"Capital punishment is not a solution,","Still, the state needs the death penalty as a deterrent to horrific crimes.",4383.0,
5568,support,as it cannot be ruled out that the judicial process may make mistakes.,"Capital punishment is not a solution,",4384.0,
5569,neither,as it cannot be ruled out that the judicial process may make mistakes.,"Criminals should not be put in luxury prisons, though.",4385.0,
5570,neither,as it cannot be ruled out that the judicial process may make mistakes.,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",4386.0,
5571,neither,as it cannot be ruled out that the judicial process may make mistakes.,"Still, the state needs the death penalty as a deterrent to horrific crimes.",4387.0,
5572,neither,"Criminals should not be put in luxury prisons, though.","Capital punishment is not a solution,",4388.0,
5573,neither,"Criminals should not be put in luxury prisons, though.",as it cannot be ruled out that the judicial process may make mistakes.,4389.0,
5574,neither,"Criminals should not be put in luxury prisons, though.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",4390.0,
5575,support,"Criminals should not be put in luxury prisons, though.","Still, the state needs the death penalty as a deterrent to horrific crimes.",4391.0,
5576,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Capital punishment is not a solution,",4392.0,
5577,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",as it cannot be ruled out that the judicial process may make mistakes.,4393.0,
5578,support,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Criminals should not be put in luxury prisons, though.",4394.0,
5579,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Still, the state needs the death penalty as a deterrent to horrific crimes.",4395.0,
5580,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Capital punishment is not a solution,",4396.0,
5581,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.",as it cannot be ruled out that the judicial process may make mistakes.,4397.0,
5582,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Criminals should not be put in luxury prisons, though.",4398.0,
5583,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",4399.0,
5584,neither,Pieces of dog poo on the pavements are a real danger.,Time and again children or the elderly slip on them.,4400.0,
5585,neither,Pieces of dog poo on the pavements are a real danger.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",4401.0,
5586,neither,Pieces of dog poo on the pavements are a real danger.,"but similar rules are often in place for bicycles on park paths, after all.",4402.0,
5587,support,Pieces of dog poo on the pavements are a real danger.,Increasing penalties is therefore the right way.,4403.0,
5588,neither,Pieces of dog poo on the pavements are a real danger.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,4404.0,
5589,support,Time and again children or the elderly slip on them.,Pieces of dog poo on the pavements are a real danger.,4405.0,
5590,neither,Time and again children or the elderly slip on them.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",4406.0,
5591,neither,Time and again children or the elderly slip on them.,"but similar rules are often in place for bicycles on park paths, after all.",4407.0,
5592,neither,Time and again children or the elderly slip on them.,Increasing penalties is therefore the right way.,4408.0,
5593,neither,Time and again children or the elderly slip on them.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,4409.0,
5594,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Pieces of dog poo on the pavements are a real danger.,4410.0,
5595,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Time and again children or the elderly slip on them.,4411.0,
5596,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,","but similar rules are often in place for bicycles on park paths, after all.",4412.0,
5597,attack,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Increasing penalties is therefore the right way.,4413.0,
5598,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",A dog dirt-free city will be more attractive not only for its residents but also for tourists!,4414.0,
5599,neither,"but similar rules are often in place for bicycles on park paths, after all.",Pieces of dog poo on the pavements are a real danger.,4415.0,
5600,neither,"but similar rules are often in place for bicycles on park paths, after all.",Time and again children or the elderly slip on them.,4416.0,
5601,attack,"but similar rules are often in place for bicycles on park paths, after all.","A fine for leaving dog waste behind admittedly seems rather authoritarian,",4417.0,
