,relationType,argSrc,argTrg
1762,attack,However then you'd have a worse overview of which shop is open on a given day.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
1763,neither,However then you'd have a worse overview of which shop is open on a given day.,"For in this way, Sunday shopping days would be better spread out through the year."
1764,neither,However then you'd have a worse overview of which shop is open on a given day.,Also streets and shops would presumably be emptier
1765,neither,However then you'd have a worse overview of which shop is open on a given day.,as not everyone would be open on the same day.
1766,neither,School uniforms should be introduced in our schools again.,"This provides an at least superficial equalization in our heavily economically oriented society,"
1767,neither,School uniforms should be introduced in our schools again.,which may reduce discrimination of financially and/or socially disadvantaged children.
1768,neither,School uniforms should be introduced in our schools again.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
1769,neither,School uniforms should be introduced in our schools again.,Uniforms always and immediately provoke fear of losing one's individuality
1770,neither,School uniforms should be introduced in our schools again.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
1771,neither,"This provides an at least superficial equalization in our heavily economically oriented society,",School uniforms should be introduced in our schools again.
1772,support,"This provides an at least superficial equalization in our heavily economically oriented society,",which may reduce discrimination of financially and/or socially disadvantaged children.
1773,neither,"This provides an at least superficial equalization in our heavily economically oriented society,","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
1774,neither,"This provides an at least superficial equalization in our heavily economically oriented society,",Uniforms always and immediately provoke fear of losing one's individuality
1775,neither,"This provides an at least superficial equalization in our heavily economically oriented society,","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
1776,support,which may reduce discrimination of financially and/or socially disadvantaged children.,School uniforms should be introduced in our schools again.
1777,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"This provides an at least superficial equalization in our heavily economically oriented society,"
1778,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
1779,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,Uniforms always and immediately provoke fear of losing one's individuality
1780,neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
1781,support,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",School uniforms should be introduced in our schools again.
1782,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","This provides an at least superficial equalization in our heavily economically oriented society,"
1783,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",which may reduce discrimination of financially and/or socially disadvantaged children.
1784,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",Uniforms always and immediately provoke fear of losing one's individuality
1785,neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
1786,attack,Uniforms always and immediately provoke fear of losing one's individuality,School uniforms should be introduced in our schools again.
1787,neither,Uniforms always and immediately provoke fear of losing one's individuality,"This provides an at least superficial equalization in our heavily economically oriented society,"
1788,neither,Uniforms always and immediately provoke fear of losing one's individuality,which may reduce discrimination of financially and/or socially disadvantaged children.
1789,neither,Uniforms always and immediately provoke fear of losing one's individuality,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
1790,neither,Uniforms always and immediately provoke fear of losing one's individuality,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
1791,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",School uniforms should be introduced in our schools again.
1792,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","This provides an at least superficial equalization in our heavily economically oriented society,"
1793,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",which may reduce discrimination of financially and/or socially disadvantaged children.
1794,neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
1795,attack,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",Uniforms always and immediately provoke fear of losing one's individuality
1796,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
1797,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"Besides, intelligence services intervene massively in the privacy of citizens"
1798,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,and must therefore be monitored more closely to prevent abuse.
1799,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,Parliamentary control however hampers the work of intelligence services
1800,neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,for it jeopardizes the secrecy and security of confidential data and informants.
1801,support,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Secret services must be more tightly regulated in order to prevent excessive surveillance.
1802,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.","Besides, intelligence services intervene massively in the privacy of citizens"
1803,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",and must therefore be monitored more closely to prevent abuse.
1804,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Parliamentary control however hampers the work of intelligence services
1805,neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",for it jeopardizes the secrecy and security of confidential data and informants.
1806,support,"Besides, intelligence services intervene massively in the privacy of citizens",Secret services must be more tightly regulated in order to prevent excessive surveillance.
1807,neither,"Besides, intelligence services intervene massively in the privacy of citizens","After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
1808,neither,"Besides, intelligence services intervene massively in the privacy of citizens",and must therefore be monitored more closely to prevent abuse.
1809,neither,"Besides, intelligence services intervene massively in the privacy of citizens",Parliamentary control however hampers the work of intelligence services
1810,neither,"Besides, intelligence services intervene massively in the privacy of citizens",for it jeopardizes the secrecy and security of confidential data and informants.
1811,support,and must therefore be monitored more closely to prevent abuse.,Secret services must be more tightly regulated in order to prevent excessive surveillance.
1812,neither,and must therefore be monitored more closely to prevent abuse.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
1813,neither,and must therefore be monitored more closely to prevent abuse.,"Besides, intelligence services intervene massively in the privacy of citizens"
1814,neither,and must therefore be monitored more closely to prevent abuse.,Parliamentary control however hampers the work of intelligence services
1815,neither,and must therefore be monitored more closely to prevent abuse.,for it jeopardizes the secrecy and security of confidential data and informants.
1816,attack,Parliamentary control however hampers the work of intelligence services,Secret services must be more tightly regulated in order to prevent excessive surveillance.
1817,neither,Parliamentary control however hampers the work of intelligence services,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
1818,neither,Parliamentary control however hampers the work of intelligence services,"Besides, intelligence services intervene massively in the privacy of citizens"
1819,neither,Parliamentary control however hampers the work of intelligence services,and must therefore be monitored more closely to prevent abuse.
1820,neither,Parliamentary control however hampers the work of intelligence services,for it jeopardizes the secrecy and security of confidential data and informants.
1821,neither,for it jeopardizes the secrecy and security of confidential data and informants.,Secret services must be more tightly regulated in order to prevent excessive surveillance.
1822,neither,for it jeopardizes the secrecy and security of confidential data and informants.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
1823,neither,for it jeopardizes the secrecy and security of confidential data and informants.,"Besides, intelligence services intervene massively in the privacy of citizens"
1824,neither,for it jeopardizes the secrecy and security of confidential data and informants.,and must therefore be monitored more closely to prevent abuse.
1825,support,for it jeopardizes the secrecy and security of confidential data and informants.,Parliamentary control however hampers the work of intelligence services
1826,neither,It was clearly a mistake to include Tom in our football team.,"He's just not a team player, and often goes it alone."
1827,neither,It was clearly a mistake to include Tom in our football team.,"Plus he comes to training way too rarely,"
1828,neither,It was clearly a mistake to include Tom in our football team.,although he plays very well without training.
1829,neither,It was clearly a mistake to include Tom in our football team.,But the worst thing is his habit of always complaining to the referee.
1830,support,"He's just not a team player, and often goes it alone.",It was clearly a mistake to include Tom in our football team.
1831,neither,"He's just not a team player, and often goes it alone.","Plus he comes to training way too rarely,"
1832,neither,"He's just not a team player, and often goes it alone.",although he plays very well without training.
1833,neither,"He's just not a team player, and often goes it alone.",But the worst thing is his habit of always complaining to the referee.
1834,support,"Plus he comes to training way too rarely,",It was clearly a mistake to include Tom in our football team.
1835,neither,"Plus he comes to training way too rarely,","He's just not a team player, and often goes it alone."
1836,neither,"Plus he comes to training way too rarely,",although he plays very well without training.
1837,neither,"Plus he comes to training way too rarely,",But the worst thing is his habit of always complaining to the referee.
1838,neither,although he plays very well without training.,It was clearly a mistake to include Tom in our football team.
1839,neither,although he plays very well without training.,"He's just not a team player, and often goes it alone."
1840,attack,although he plays very well without training.,"Plus he comes to training way too rarely,"
1841,neither,although he plays very well without training.,But the worst thing is his habit of always complaining to the referee.
1842,support,But the worst thing is his habit of always complaining to the referee.,It was clearly a mistake to include Tom in our football team.
1843,neither,But the worst thing is his habit of always complaining to the referee.,"He's just not a team player, and often goes it alone."
1844,neither,But the worst thing is his habit of always complaining to the referee.,"Plus he comes to training way too rarely,"
1845,neither,But the worst thing is his habit of always complaining to the referee.,although he plays very well without training.
1846,support,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,For safety reasons alone I find continued operation wrong.
1847,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
1848,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.
1849,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,These areas will be upgraded economically due to these factors (housing health and employment).
1850,neither,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
1851,neither,For safety reasons alone I find continued operation wrong.,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
1852,neither,For safety reasons alone I find continued operation wrong.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
1853,neither,For safety reasons alone I find continued operation wrong.,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.
1854,neither,For safety reasons alone I find continued operation wrong.,These areas will be upgraded economically due to these factors (housing health and employment).
1855,support,For safety reasons alone I find continued operation wrong.,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
1856,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
1857,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",For safety reasons alone I find continued operation wrong.
1858,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",Closing down Tegel will have health benefits for hundreds of thousands in the approach path.
1859,neither,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.",These areas will be upgraded economically due to these factors (housing health and employment).
1860,support,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing.","After the new BER Airport has been commissioned, Tegel should definitely be closed."
1861,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
1862,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,For safety reasons alone I find continued operation wrong.
1863,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
1864,support,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,These areas will be upgraded economically due to these factors (housing health and employment).
1865,neither,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
1866,neither,These areas will be upgraded economically due to these factors (housing health and employment).,I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
1867,neither,These areas will be upgraded economically due to these factors (housing health and employment).,For safety reasons alone I find continued operation wrong.
1868,neither,These areas will be upgraded economically due to these factors (housing health and employment).,"Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
1869,neither,These areas will be upgraded economically due to these factors (housing health and employment).,Closing down Tegel will have health benefits for hundreds of thousands in the approach path.
1870,support,These areas will be upgraded economically due to these factors (housing health and employment).,"After the new BER Airport has been commissioned, Tegel should definitely be closed."
1871,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",I think Berlin with its two inner-city airports was lucky not having to experience an airplane catastrophe for decades.
1872,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",For safety reasons alone I find continued operation wrong.
1873,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.","Also, Berlin urgently needs inner-city areas for business and industry, and for housing."
1874,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",Closing down Tegel will have health benefits for hundreds of thousands in the approach path.
1875,neither,"After the new BER Airport has been commissioned, Tegel should definitely be closed.",These areas will be upgraded economically due to these factors (housing health and employment).
1876,neither,"The implementation of retirement at 63 is no longer socially sustainable,","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
1877,neither,"The implementation of retirement at 63 is no longer socially sustainable,",and constantly declining birth rates are being recorded.
1878,neither,"The implementation of retirement at 63 is no longer socially sustainable,","Admittedly the number of immigrants is constantly rising in Germany,"
1879,neither,"The implementation of retirement at 63 is no longer socially sustainable,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
1880,support,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","The implementation of retirement at 63 is no longer socially sustainable,"
1881,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",and constantly declining birth rates are being recorded.
1882,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","Admittedly the number of immigrants is constantly rising in Germany,"
1883,neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
1884,support,and constantly declining birth rates are being recorded.,"The implementation of retirement at 63 is no longer socially sustainable,"
1885,neither,and constantly declining birth rates are being recorded.,"as the population in Germany has, viewed demographically, a disproportionate number of old people,"
1886,neither,and constantly declining birth rates are being recorded.,"Admittedly the number of immigrants is constantly rising in Germany,"
1887,neither,and constantly declining birth rates are being recorded.,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
1888,attack,"Admittedly the number of immigrants is constantly rising in Germany,","The implementation of retirement at 63 is no longer socially sustainable,"
1889,neither,"Admittedly the number of immigrants is constantly rising in Germany,","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
1890,neither,"Admittedly the number of immigrants is constantly rising in Germany,",and constantly declining birth rates are being recorded.
1891,neither,"Admittedly the number of immigrants is constantly rising in Germany,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
1892,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","The implementation of retirement at 63 is no longer socially sustainable,"
1893,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
1894,neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",and constantly declining birth rates are being recorded.
1895,attack,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","Admittedly the number of immigrants is constantly rising in Germany,"
1896,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,For affordable living space is scarce.
1897,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
1898,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,"Plus everyone has to move approx. 3-10 times in his or her life,"
1899,neither,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.,because the size of the desired accommodation changes over the course of a lifetime.
1900,support,For affordable living space is scarce.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
1901,neither,For affordable living space is scarce.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
1902,neither,For affordable living space is scarce.,"Plus everyone has to move approx. 3-10 times in his or her life,"
1903,neither,For affordable living space is scarce.,because the size of the desired accommodation changes over the course of a lifetime.
1904,support,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
1905,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",For affordable living space is scarce.
1906,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.","Plus everyone has to move approx. 3-10 times in his or her life,"
1907,neither,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all.",because the size of the desired accommodation changes over the course of a lifetime.
1908,support,"Plus everyone has to move approx. 3-10 times in his or her life,",A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
1909,neither,"Plus everyone has to move approx. 3-10 times in his or her life,",For affordable living space is scarce.
1910,neither,"Plus everyone has to move approx. 3-10 times in his or her life,","Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
1911,neither,"Plus everyone has to move approx. 3-10 times in his or her life,",because the size of the desired accommodation changes over the course of a lifetime.
1912,neither,because the size of the desired accommodation changes over the course of a lifetime.,A stop must be put to exorbitant rents by imposing a limit on rent increases when changing residences.
1913,neither,because the size of the desired accommodation changes over the course of a lifetime.,For affordable living space is scarce.
1914,neither,because the size of the desired accommodation changes over the course of a lifetime.,"Besides, a higher degree of luxury (expensive flats) is not necessary for the majority of the people, but rather a flat at all."
1915,support,because the size of the desired accommodation changes over the course of a lifetime.,"Plus everyone has to move approx. 3-10 times in his or her life,"
1916,neither,"Capital punishment is not a solution,",as it cannot be ruled out that the judicial process may make mistakes.
1917,neither,"Capital punishment is not a solution,","Criminals should not be put in luxury prisons, though."
1918,neither,"Capital punishment is not a solution,","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
1919,attack,"Capital punishment is not a solution,","Still, the state needs the death penalty as a deterrent to horrific crimes."
1920,support,as it cannot be ruled out that the judicial process may make mistakes.,"Capital punishment is not a solution,"
1921,neither,as it cannot be ruled out that the judicial process may make mistakes.,"Criminals should not be put in luxury prisons, though."
1922,neither,as it cannot be ruled out that the judicial process may make mistakes.,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
1923,neither,as it cannot be ruled out that the judicial process may make mistakes.,"Still, the state needs the death penalty as a deterrent to horrific crimes."
1924,neither,"Criminals should not be put in luxury prisons, though.","Capital punishment is not a solution,"
1925,neither,"Criminals should not be put in luxury prisons, though.",as it cannot be ruled out that the judicial process may make mistakes.
1926,neither,"Criminals should not be put in luxury prisons, though.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
1927,support,"Criminals should not be put in luxury prisons, though.","Still, the state needs the death penalty as a deterrent to horrific crimes."
1928,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Capital punishment is not a solution,"
1929,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",as it cannot be ruled out that the judicial process may make mistakes.
1930,support,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Criminals should not be put in luxury prisons, though."
1931,neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Still, the state needs the death penalty as a deterrent to horrific crimes."
1932,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Capital punishment is not a solution,"
1933,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.",as it cannot be ruled out that the judicial process may make mistakes.
1934,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Criminals should not be put in luxury prisons, though."
1935,neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
1936,neither,Pieces of dog poo on the pavements are a real danger.,Time and again children or the elderly slip on them.
1937,neither,Pieces of dog poo on the pavements are a real danger.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
1938,neither,Pieces of dog poo on the pavements are a real danger.,"but similar rules are often in place for bicycles on park paths, after all."
1939,support,Pieces of dog poo on the pavements are a real danger.,Increasing penalties is therefore the right way.
1940,neither,Pieces of dog poo on the pavements are a real danger.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
1941,support,Time and again children or the elderly slip on them.,Pieces of dog poo on the pavements are a real danger.
1942,neither,Time and again children or the elderly slip on them.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
1943,neither,Time and again children or the elderly slip on them.,"but similar rules are often in place for bicycles on park paths, after all."
1944,neither,Time and again children or the elderly slip on them.,Increasing penalties is therefore the right way.
1945,neither,Time and again children or the elderly slip on them.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
1946,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Pieces of dog poo on the pavements are a real danger.
1947,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Time and again children or the elderly slip on them.
1948,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,","but similar rules are often in place for bicycles on park paths, after all."
1949,attack,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Increasing penalties is therefore the right way.
1950,neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",A dog dirt-free city will be more attractive not only for its residents but also for tourists!
1951,neither,"but similar rules are often in place for bicycles on park paths, after all.",Pieces of dog poo on the pavements are a real danger.
1952,neither,"but similar rules are often in place for bicycles on park paths, after all.",Time and again children or the elderly slip on them.
1953,attack,"but similar rules are often in place for bicycles on park paths, after all.","A fine for leaving dog waste behind admittedly seems rather authoritarian,"
1954,neither,"but similar rules are often in place for bicycles on park paths, after all.",Increasing penalties is therefore the right way.
1955,neither,"but similar rules are often in place for bicycles on park paths, after all.",A dog dirt-free city will be more attractive not only for its residents but also for tourists!
1956,neither,Increasing penalties is therefore the right way.,Pieces of dog poo on the pavements are a real danger.
1957,neither,Increasing penalties is therefore the right way.,Time and again children or the elderly slip on them.
1958,neither,Increasing penalties is therefore the right way.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
1959,neither,Increasing penalties is therefore the right way.,"but similar rules are often in place for bicycles on park paths, after all."
1960,neither,Increasing penalties is therefore the right way.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
1961,neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Pieces of dog poo on the pavements are a real danger.
1962,neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Time and again children or the elderly slip on them.
1963,neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
1964,neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,"but similar rules are often in place for bicycles on park paths, after all."
1965,support,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Increasing penalties is therefore the right way.
1966,neither,Excessive consumption of meat is unhealthy.,"Furthermore, the production of meat is comparably resource-intensive."
1967,support,Excessive consumption of meat is unhealthy.,We should thus all limit our consumption of meat rigorously.
1968,neither,Excessive consumption of meat is unhealthy.,One could worry that our farmers would then run into economic difficulties.
1969,neither,Excessive consumption of meat is unhealthy.,"However, no serious economist has confirmed this prediction to date."
1970,neither,"Furthermore, the production of meat is comparably resource-intensive.",Excessive consumption of meat is unhealthy.
1971,support,"Furthermore, the production of meat is comparably resource-intensive.",We should thus all limit our consumption of meat rigorously.
1972,neither,"Furthermore, the production of meat is comparably resource-intensive.",One could worry that our farmers would then run into economic difficulties.
1973,neither,"Furthermore, the production of meat is comparably resource-intensive.","However, no serious economist has confirmed this prediction to date."
1974,neither,We should thus all limit our consumption of meat rigorously.,Excessive consumption of meat is unhealthy.
1975,neither,We should thus all limit our consumption of meat rigorously.,"Furthermore, the production of meat is comparably resource-intensive."
1976,neither,We should thus all limit our consumption of meat rigorously.,One could worry that our farmers would then run into economic difficulties.
1977,neither,We should thus all limit our consumption of meat rigorously.,"However, no serious economist has confirmed this prediction to date."
1978,neither,One could worry that our farmers would then run into economic difficulties.,Excessive consumption of meat is unhealthy.
1979,neither,One could worry that our farmers would then run into economic difficulties.,"Furthermore, the production of meat is comparably resource-intensive."
1980,attack,One could worry that our farmers would then run into economic difficulties.,We should thus all limit our consumption of meat rigorously.
1981,neither,One could worry that our farmers would then run into economic difficulties.,"However, no serious economist has confirmed this prediction to date."
1982,neither,"However, no serious economist has confirmed this prediction to date.",Excessive consumption of meat is unhealthy.
1983,neither,"However, no serious economist has confirmed this prediction to date.","Furthermore, the production of meat is comparably resource-intensive."
1984,neither,"However, no serious economist has confirmed this prediction to date.",We should thus all limit our consumption of meat rigorously.
1985,attack,"However, no serious economist has confirmed this prediction to date.",One could worry that our farmers would then run into economic difficulties.
1986,neither,The EU should exert influence on the political events in Ukraine.,"The developments in that conflict should not be left to former Cold War opponents alone,"
1987,neither,The EU should exert influence on the political events in Ukraine.,for that course can only lead to escalation in some form.
1988,neither,The EU should exert influence on the political events in Ukraine.,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
1989,neither,The EU should exert influence on the political events in Ukraine.,"Indeed one could argue that a country has to deal with internal political changes itself,"
1990,neither,The EU should exert influence on the political events in Ukraine.,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers."
1991,support,"The developments in that conflict should not be left to former Cold War opponents alone,",The EU should exert influence on the political events in Ukraine.
1992,neither,"The developments in that conflict should not be left to former Cold War opponents alone,",for that course can only lead to escalation in some form.
1993,neither,"The developments in that conflict should not be left to former Cold War opponents alone,","Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
1994,neither,"The developments in that conflict should not be left to former Cold War opponents alone,","Indeed one could argue that a country has to deal with internal political changes itself,"
1995,neither,"The developments in that conflict should not be left to former Cold War opponents alone,","but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers."
1996,neither,for that course can only lead to escalation in some form.,The EU should exert influence on the political events in Ukraine.
1997,support,for that course can only lead to escalation in some form.,"The developments in that conflict should not be left to former Cold War opponents alone,"
1998,neither,for that course can only lead to escalation in some form.,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with."
1999,neither,for that course can only lead to escalation in some form.,"Indeed one could argue that a country has to deal with internal political changes itself,"
2000,neither,for that course can only lead to escalation in some form.,"but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers."
2001,support,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.",The EU should exert influence on the political events in Ukraine.
2002,neither,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","The developments in that conflict should not be left to former Cold War opponents alone,"
2003,neither,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.",for that course can only lead to escalation in some form.
2004,neither,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","Indeed one could argue that a country has to deal with internal political changes itself,"
2005,neither,"Furthermore, Ukraine is culturally and geographically much closer than other countries that the EU (used to) get involved with.","but political power also brings about political responsibility, in this case the responsibility to protect the Ukrainian people from the rather strong interests of the two Great Powers."
2006,attack,"Indeed one could argue that a country has to deal with internal political changes itself,",The EU should exert influence on the political events in Ukraine.
2007,neither,"Indeed one could argue that a country has to deal with internal political changes itself,","The developments in that conflict should not be left to former Cold War opponents alone,"
